frame,value
99,1
251,1
309,1
627,1
751,1
919,1
4727,1
4733,1
6197,1
6423,1
7699,1
8117,1
8583,1
8589,1
8675,1
9275,1
9395,1
9615,1
9617,1
9619,1
9629,1
9631,1
10411,1
11501,1
11589,1
13759,1
13803,1
14019,1
14989,1
15959,1
16729,1
16763,1
17539,1
17571,1
17599,1
18231,1
20605,1
20631,1
21301,1
21393,1
21757,1
21759,1
21763,1
21765,1
21767,1
22395,1
23265,1
26807,1
27513,1
27635,1
27723,1
28279,1
28327,1
29605,1
30503,1
31185,1
31831,1
32429,1
33111,1
33141,1
33321,1
33325,1
33345,1
33965,1
34005,1
34423,1
35379,1
35395,1
35981,1
36725,1
36773,1
36859,1
37623,1
38481,1
41209,1
41285,1
41504,1
42407,1
42749,1
42905,1
47677,1
47679,1
48617,1
48773,1
49635,1
50893,1
50951,1
51191,1
51193,1
51195,1
51197,1
51199,1
52173,1
57789,1
57791,1
57793,1
57799,1
57981,1
60777,1
60905,1
61565,1
62325,1
64003,1
64049,1
64469,1
65003,1
65645,1
66187,1
66905,1
67171,1
67195,1
68233,1
68973,1
69381,1
69877,1
72525,1
73189,1
73385,1
73517,1
73635,1
74705,1
77359,1
80243,1
80287,1
80543,1
80545,1
80547,1
80559,1
80561,1
80567,1
81189,1
81195,1
81493,1
81501,1
82069,1
82081,1
82199,1
82229,1
82245,1
82253,1
83889,1
84791,1
84813,1
85801,1
87289,1
88705,1
88827,1
88911,1
89445,1
89963,1
91885,1
91965,1
91977,1
92075,1
92081,1
92087,1
92097,1
92625,1
92739,1
93571,1
93707,1
96109,1
96961,1
98073,1
100281,1
101103,1
101213,1
102017,1
102335,1
102337,1
102365,1
103073,1
103133,1
103317,1
103405,1
103493,1
103581,1
103675,1
103809,1
103929,1
104051,1
104303,1
104429,1
104551,1
104617,1
104639,1
104667,1
104789,1
104961,1
105083,1
105143,1
105175,1
105287,1
105883,1
106049,1
106219,1
106239,1
106319,1
106455,1
106621,1
106625,1
106807,1
106827,1
107341,1
107541,1
107719,1
107795,1
107933,1
108013,1
108127,1
108195,1
108463,1
108789,1
109767,1
109807,1
109919,1
110123,1
110393,1
110699,1
110757,1
110841,1
110951,1
111117,1
111399,1
111445,1
111591,1
111633,1
111743,1
111745,1
111751,1
111753,1
111757,1
111761,1
111769,1
111867,1
